"city","year","month","precipitation_total","date"
"Paris",2023,4,76.1,2023-04-01
"Paris",2023,5,65.6,2023-05-01
"Paris",2023,6,57.4,2023-06-01
"Paris",2023,7,104.7,2023-07-01
"Paris",2023,8,121.6,2023-08-01
"Paris",2023,9,74,2023-09-01
"Paris",2023,10,98.7,2023-10-01
"Paris",2023,11,102.8,2023-11-01
"Paris",2023,12,71.1,2023-12-01
"Paris",2024,1,65,2024-01-01
"Paris",2024,2,105.1,2024-02-01
"Paris",2024,3,106.2,2024-03-01
"Paris",2024,4,88,2024-04-01
"Paris",2024,5,125.4,2024-05-01
"Paris",2024,6,105.3,2024-06-01
"Paris",2024,7,63.2,2024-07-01
"Paris",2024,8,134.9,2024-08-01
"Paris",2024,9,127.9,2024-09-01
"Paris",2024,10,117.9,2024-10-01
"Paris",2024,11,57.6,2024-11-01
"Paris",2024,12,55.6,2024-12-01
"Paris",2025,1,136.7,2025-01-01
"Paris",2025,2,50.3,2025-02-01
"Paris",2025,3,22.4,2025-03-01
"Paris",2025,4,29.3,2025-04-01
"Paris",2025,5,56.7,2025-05-01
"Paris",2025,6,58,2025-06-01
"Paris",2025,7,142.4,2025-07-01
"Paris",2025,8,22.6,2025-08-01
"Paris",2025,9,60.3,2025-09-01
"Paris",2025,10,42.9,2025-10-01
"Paris",2025,11,82.4,2025-11-01
"Paris",2025,12,36.9,2025-12-01
"Madrid",2021,1,67.3,2021-01-01
"Madrid",2021,2,60.3,2021-02-01
"Madrid",2021,3,10,2021-03-01
"Madrid",2021,4,103.3,2021-04-01
"Madrid",2021,5,19.7,2021-05-01
"Madrid",2021,6,17.5,2021-06-01
"Madrid",2021,7,4.3,2021-07-01
"Madrid",2021,8,0.8,2021-08-01
"Madrid",2021,9,129.4,2021-09-01
"Madrid",2021,10,68.1,2021-10-01
"Madrid",2021,11,42.2,2021-11-01
"Madrid",2021,12,30.7,2021-12-01
"Madrid",2022,1,13.2,2022-01-01
"Madrid",2022,2,8,2022-02-01
"Madrid",2022,3,146.9,2022-03-01
"Madrid",2022,4,62.1,2022-04-01
"Madrid",2022,5,12.3,2022-05-01
"Madrid",2022,6,2.5,2022-06-01
"Madrid",2022,7,6,2022-07-01
"Madrid",2022,8,13.3,2022-08-01
"Madrid",2022,9,63.4,2022-09-01
"Madrid",2022,10,34.6,2022-10-01
"Madrid",2022,11,40.6,2022-11-01
"Madrid",2022,12,128.6,2022-12-01
"Madrid",2023,1,21.5,2023-01-01
"Madrid",2023,2,4.7,2023-02-01
"Madrid",2023,3,10.2,2023-03-01
"Madrid",2023,4,12.7,2023-04-01
"Madrid",2023,5,54,2023-05-01
"Madrid",2023,6,53.2,2023-06-01
"Madrid",2023,7,1.1,2023-07-01
"Madrid",2023,8,0.4,2023-08-01
"Madrid",2023,9,162.9,2023-09-01
"Madrid",2023,10,126,2023-10-01
"Madrid",2023,11,33.1,2023-11-01
"Madrid",2023,12,36.9,2023-12-01
"Madrid",2024,1,80.7,2024-01-01
"Madrid",2024,2,33.3,2024-02-01
"Madrid",2024,3,110.8,2024-03-01
"Madrid",2024,4,19.6,2024-04-01
"Madrid",2024,5,17,2024-05-01
"Madrid",2024,6,58.9,2024-06-01
"Madrid",2024,7,0.4,2024-07-01
"Madrid",2024,8,15.5,2024-08-01
"Madrid",2024,9,19.9,2024-09-01
"Madrid",2024,10,106.8,2024-10-01
"Madrid",2024,11,18.2,2024-11-01
"Madrid",2024,12,9.5,2024-12-01
"Madrid",2025,1,48.6,2025-01-01
"Madrid",2025,2,13.5,2025-02-01
"Madrid",2025,3,238,2025-03-01
"Madrid",2025,4,99.1,2025-04-01
"Madrid",2025,5,113.6,2025-05-01
"Madrid",2025,6,17,2025-06-01
"Madrid",2025,7,0.8,2025-07-01
"Madrid",2025,8,1.3,2025-08-01
"Madrid",2025,9,10.3,2025-09-01
"Madrid",2025,10,29.5,2025-10-01
"Madrid",2025,11,65.8,2025-11-01
"Madrid",2025,12,42.9,2025-12-01
"Rome",2021,1,141.1,2021-01-01
"Rome",2021,2,72.6,2021-02-01
"Rome",2021,3,89.3,2021-03-01
"Rome",2021,4,82.2,2021-04-01
"Rome",2021,5,37.1,2021-05-01
"Rome",2021,6,36.8,2021-06-01
"Rome",2021,7,14.9,2021-07-01
"Rome",2021,8,13.3,2021-08-01
"Rome",2021,9,21.2,2021-09-01
"Rome",2021,10,53.6,2021-10-01
"Rome",2021,11,247.2,2021-11-01
"Rome",2021,12,104.6,2021-12-01
"Rome",2022,1,23.4,2022-01-01
"Rome",2022,2,42.2,2022-02-01
"Rome",2022,3,40.4,2022-03-01
"Rome",2022,4,47,2022-04-01
"Rome",2022,5,33.1,2022-05-01
"Rome",2022,6,7.7,2022-06-01
"Rome",2022,7,11.7,2022-07-01
"Rome",2022,8,43.4,2022-08-01
"Rome",2022,9,182.2,2022-09-01
"Rome",2022,10,26.8,2022-10-01
"Rome",2022,11,211.2,2022-11-01
"Rome",2022,12,229.9,2022-12-01
"Rome",2023,1,119.5,2023-01-01
"Rome",2023,2,45.8,2023-02-01
"Rome",2023,3,86.2,2023-03-01
"Rome",2023,4,75.3,2023-04-01
"Rome",2023,5,137.8,2023-05-01
"Rome",2023,6,103.8,2023-06-01
"Rome",2023,7,6.3,2023-07-01
"Rome",2023,8,64.7,2023-08-01
"Rome",2023,9,16.9,2023-09-01
"Rome",2023,10,80,2023-10-01
"Rome",2023,11,160.1,2023-11-01
"Rome",2023,12,28.7,2023-12-01
"Rome",2024,1,43.5,2024-01-01
"Rome",2024,2,84,2024-02-01
"Rome",2024,3,123.6,2024-03-01
"Rome",2024,4,40.3,2024-04-01
"Rome",2024,5,106.5,2024-05-01
"Rome",2024,6,23.8,2024-06-01
"Rome",2024,7,16.4,2024-07-01
"Rome",2024,8,40.2,2024-08-01
"Rome",2024,9,139.6,2024-09-01
"Rome",2024,10,148.7,2024-10-01
"Rome",2024,11,19.9,2024-11-01
"Rome",2024,12,89.1,2024-12-01
"Rome",2025,1,53.6,2025-01-01
"Rome",2025,2,88.6,2025-02-01
"Rome",2025,3,150.4,2025-03-01
"Rome",2025,4,74.4,2025-04-01
"Rome",2025,5,101.4,2025-05-01
"Rome",2025,6,15.7,2025-06-01
"Rome",2025,7,40.9,2025-07-01
"Rome",2025,8,65.1,2025-08-01
"Rome",2025,9,162.4,2025-09-01
"Rome",2025,10,88.2,2025-10-01
"Rome",2025,11,114.6,2025-11-01
"Rome",2025,12,69,2025-12-01
