"city","season","temperature_mean"
"Stockholm","Autumn",8.22077838827839
"Stockholm","Spring",5.94417572463768
"Stockholm","Summer",17.2674094202899
"Stockholm","Winter",-1.03592017738359
"Lille","Autumn",12.5031227106227
"Lille","Spring",10.3185144927536
"Lille","Summer",18.4929257246377
"Lille","Winter",5.24468773096822
"Paris","Autumn",12.950347985348
"Paris","Spring",11.2544293478261
"Paris","Summer",19.9558967391304
"Paris","Winter",5.68842387287509
"Madrid","Autumn",15.7911813186813
"Madrid","Spring",14.043731884058
"Madrid","Summer",26.6015398550725
"Madrid","Winter",6.84104767184035
"Rome","Autumn",17.7870604395604
"Rome","Spring",14.5109057971014
"Rome","Summer",26.356240942029
"Rome","Winter",9.11926274944568
